ilan_No;ilan_tarihi;marka;seri;model;yil;yakit;vites;km;renk;motor_gucu;motor_hacim;kasa_tipi;fiyat
673531412;18.03.2019;BMW;3;320d Standart ;2009;1;0;165.500;1;177;1995;sedan;144.500
617864577;18.03.2019;BMW;3;320d Standart ;2010;1;0;300.000;2;184;1995;sedan;83.500
673502304;18.03.2019;BMW;3;320d Standart ;2005;1;0;320.000;6;163;1995;sedan;57.800
673491612;18.03.2019;BMW;3;320d Standart ;2006;1;0;380.000;7;163;1995;sedan;64.250
674274845;20.03.2019;BMW;3;320d Standart ;2000;1;0;290.000;6;136;1951;sedan;48.000
674284130;20.03.2019;BMW;3;320d Standart ;2012;1;0;225.000;2;184;1995;sedan;111.000
570284748;18.03.2019;BMW;3;320d Standart ;2010;1;0;77.000;1;177;1995;sedan;95.900
569852532;20.03.2019;BMW;3;320d Standart ;2005;1;0;315.000;3;163;1995;sedan;65.000
674117939;20.03.2019;BMW;3;320d Standart ;2000;1;0;170.000;2;136;1995;sedan;53.000
637635287;20.03.2019;BMW;3;320d Standart ;2011;1;0;209.000;2;184;1995;sedan;85.500
674067446;19.03.2019;BMW;3;320d Standart ;2005;1;0;169.000;2;150;1995;sedan;62.500
674081373;19.03.2019;BMW;3;320d Standart ;2005;1;0;276.000;5;163;1995;sedan;66.000
674024398;19.03.2019;BMW;3;320d Standart ;2006;1;0;270.000;2;163;1995;sedan;62.750
