ilan_No;ilan_tarihi;marka;seri;model;yil;yakit;vites;km;renk;motor_gucu;motor_hacim;kasa_tipi;fiyat
11094463;18.Mar.19;BMW;3;320d Standart;2001;1;0;330.000;6;150;1995;sedan;43.750
11092111;18.Mar.19;BMW;3;320d Standart;2010;1;0;235.000;3;177;1995;sedan;129.000
7125457;18.Mar.19;BMW;3;320d Standart;2005;1;0;234.000;3;225;2000;sedan;74.000
11088042;17.Mar.19;BMW;3;320d Standart;2010;1;0;215.000;2;184;1995;sedan;73.000
11085612;17.Mar.19;BMW;3;320d Standart;2005;1;0;335.000;2;163;1995;sedan;38.000
11077452;15.Mar.19;BMW;3;320d Standart;2012;1;0;200.000;2;200;2000;sedan;111.900
11073901;15.Mar.19;BMW;3;320d Standart;2005;1;0;300.000;2;163;1995;sedan;62.750
11073562;15.Mar.19;BMW;3;320d Standart;2013;1;0;42.000;6;200;2000;sedan;146.000
11071098;15.Mar.19;BMW;3;320d Standart;2006;1;0;300.000;7;163;1995;sedan;79.000
11010728;15.Mar.19;BMW;3;320d Standart;2005;1;0;198.000;4;175;2000;sedan;71.000
10226946;15.Mar.19;BMW;3;320d Standart;2002;1;0;270.000;3;150;1995;sedan;59.000
10395890;14.Mar.19;BMW;3;320d Standart;2003;1;0;245.000;8;150;1995;sedan;45.000
11062624;13.Mar.19;BMW;3;320d Standart;2010;1;0;140.000;1;184;1995;sedan;105.000
11058519;13.Mar.19;BMW;3;320d Standart;2003;1;0;220.000;3;150;1995;sedan;45.000
11057252;13.Mar.19;BMW;3;320d Standart;2008;1;0;260.000;3;177;1995;sedan;73.950
11052045;12.Mar.19;BMW;3;320d Standart;2015;1;0;91.000;1;190;1995;sedan;141.500
11050468;12.Mar.19;BMW;3;320d Standart;2003;1;0;281.000;3;136;1951;sedan;42.000
11045906;11.Mar.19;BMW;3;320d Standart;2011;1;0;160.000;1;184;1995;sedan;108.500
11045419;11.Mar.19;BMW;3;320d Standart;2011;1;0;214.000;1;184;1995;sedan;75.200
11037607;10.Mar.19;BMW;3;320d Standart;2011;1;0;127.000;2;184;1995;sedan;96.000
10950665;09.Mar.19;BMW;3;320d Standart;2006;1;0;204.000;2;163;1995;sedan;68.950
